10.9.0.1,10.14.0.1,1,933,0.07560491561889648,False
10.9.0.1,10.12.0.1,1,13,0.000823974609375,True
10.15.0.1,10.13.0.1,1,19,0.0011591911315917969,True
10.15.0.1,10.9.0.1,1,33,0.0017261505126953125,True
10.16.0.1,10.11.0.1,1,6,0.0006358623504638672,True
10.12.0.1,10.9.0.1,1,933,0.0641331672668457,False
10.12.0.1,10.10.0.1,1,13,0.010751008987426758,True
10.10.0.1,10.9.0.1,2,3333,0.38748908042907715,
10.10.0.1,10.13.0.1,2,1333,0.09334897994995117,
10.10.0.1,10.16.0.1,1,13,0.0021729469299316406,True
10.9.0.1,10.13.0.1,1,333,0.01571512222290039,True
10.14.0.1,10.16.0.1,1,933,0.06235098838806152,False
10.13.0.1,10.16.0.1,1,13,0.0019469261169433594,True
10.13.0.1,10.9.0.1,1,53,0.0025370121002197266,True
10.15.0.1,10.10.0.1,1,19,0.000993967056274414,True
10.16.0.1,10.10.0.1,1,13,0.0009410381317138672,True
10.12.0.1,10.15.0.1,1,933,0.054470062255859375,False
10.13.0.1,10.12.0.1,1,53,0.003364086151123047,True
10.11.0.1,10.16.0.1,1,19,0.016836881637573242,True
10.16.0.1,10.10.0.1,1,933,0.05739903450012207,False
10.10.0.1,10.15.0.1,1,33,0.0017809867858886719,True
10.10.0.1,10.11.0.1,2,1333,0.06691384315490723,
10.14.0.1,10.16.0.1,1,933,0.06891894340515137,False
10.10.0.1,10.14.0.1,1,6,0.0011038780212402344,True
10.9.0.1,10.15.0.1,3,3333,0.2471170425415039,
10.10.0.1,10.11.0.1,3,8000,0.49270200729370117,
10.15.0.1,10.13.0.1,2,1333,0.11215591430664062,
10.16.0.1,10.14.0.1,1,333,0.01911187171936035,True
10.12.0.1,10.16.0.1,1,19,0.001043081283569336,True
10.11.0.1,10.16.0.1,1,6,0.0006000995635986328,True
10.9.0.1,10.14.0.1,1,53,0.0026481151580810547,True
10.14.0.1,10.16.0.1,3,1333,0.06882119178771973,
10.11.0.1,10.15.0.1,1,6,0.0006110668182373047,True
10.14.0.1,10.10.0.1,1,33,0.0030350685119628906,True
10.14.0.1,10.12.0.1,2,3333,0.1404399871826172,
10.14.0.1,10.10.0.1,1,133,0.0059659481048583984,True
10.11.0.1,10.16.0.1,1,333,0.013695001602172852,True
10.11.0.1,10.14.0.1,1,13,0.0008320808410644531,True
10.14.0.1,10.16.0.1,1,933,0.03229188919067383,True
10.10.0.1,10.15.0.1,2,3333,0.11121606826782227,
